Simulation, 76, Num of Nodes, 12
Block Height, Block Hash, Time Stamp, Received Time Stamp, Extra Bits
1, 0x0002b5fb9f880830e3ee7a97e4c2416856332a5edc1b216802d7f3713060561e, 1701181286659, 1701181288503, 0.6885688090
2, 0x00012d4bfa669cab687a8063f3b03cf697fe26854e24aa8b93e540b0f84b77bf, 1701181290660, 1701181290678, 1.8922836294
3, 0x0002854acf2cf43cba3008983c0adf45edd3f75bb3fbe0ec02adf4fce572749c, 1701181291327, 1701181291350, 0.7935162899
4, 0x00033200aa90909652cab4a489bbe3652dba092108b850ccc86579762b22af2d, 1701181291645, 1701181291668, 0.4513634966
5, 0x0000c365af7560caf4338fd268faf043d2d73358e05adf1f715d810f03f88247, 1701181292657, 1701181292686, 2.5170590730
6, 0x0000de3d5ac442bdf7e84e04ac4010c5430b38fae1448466e54ebede1026de11, 1701181296786, 1701181296816, 2.3313525922
7, 0x00039408b8ae0eaa92f2d10e1bbdee9a1524e8d6c348220d6dd8c06c9ed69b8c, 1701181297276, 1701181297300, 0.2880676757
8, 0x0001dfd7efba403710c8271ed6473bfb9e042b07ba8d9d4cc09baf2ac081f95b, 1701181297763, 1701181297779, 1.2209049744
9, 0x00008168da3b1386fb04a62d17e13e4faac1bfbe2b66f3d52cf71d139bd741d2, 1701181298056, 1701181298066, 3.1115245088
10, 0x00014a752b7b63671f7321a3240c2ac93e99968d8f5c1d77e78922bda290687b, 1701181298275, 1701181298310, 1.7590033405
11, 0x000011f0aac27c5cb85c3ea5f8ed9721a8d7be18ff4d6bba9dbdef6d7ee6050f, 1701181300753, 1701181300778, 5.9622086436
12, 0x0001fd04f8edaf37e5f91220c491f40c0b9e25a225d881c342b61bef2b72eab9, 1701181304993, 1701181305013, 1.1357482217
13, 0x00031ea5f3982a11312a96f7846631a7826259c4afb3a0928162b734f2d52cbd, 1701181305929, 1701181305946, 0.4859086988
14, 0x000022d031b61216962630c62f4a7bf18e60fa0796bbba5d5a4197a8954b9e87, 1701181307301, 1701181307335, 5.0057601677
15, 0x0001d31171722b8a5955e4c7863b82843e3a86d9818328edce2654c1c786645b, 1701181308767, 1701181308792, 1.2598359000
16, 0x0003d6cc51c5b659179e9d6c0517d28ab1d6981dacbed7d128a841269369f3d8, 1701181309054, 1701181309074, 0.1865738280
17, 0x0000d8dffe1c3c76e56a061c57a1fc4b4b645b3201ae83243479c639a7002107, 1701181309123, 1701181309159, 2.3666053641
18, 0x00029dc60b0cbda594358671c3c5d94e6927187d95f9c03e02cc617b86224486, 1701181310241, 1701181310270, 0.7397954053
19, 0x00020028d2496d796d31177257f2aebf4839fc6723f4a7b7dce905d2fdbc7c16, 1701181311062, 1701181311087, 1.1268758727
20, 0x0003f6a4d2ece5ec70aa95871716654d3cf2a6f50fc87881c3cb229bb52302ec, 1701181312538, 1701181312587, 0.1405674283
