Simulation, 54, Num of Nodes, 12
Block Height, Block Hash, Time Stamp, Received Time Stamp, Extra Bits
1, 0x0000476a58d36f851f5e6d61a4a4bc9035960c1dfe29e5af29db8623493929c3, 1701170661498, 1701170662360, 3.9691614535
2, 0x0003a20b2481dfa5118c56c578fe128b72e0de3ffa703502219ae3d4f3d6a2d1, 1701170666571, 1701170666594, 0.2661706944
3, 0x00030e2a42c39cbac4709b86de4baad4fb59b86289cfb201dc5c8ec3f8cb0b3f, 1701170667553, 1701170667580, 0.5159957997
4, 0x0000e429e23a8f0700b09402a23f9bcf3f8149f8d9e8f5647261a8121d517d33, 1701170668039, 1701170668064, 2.2934002278
5, 0x0003cc3ed502eed3d0b874df877e79d439db57b93dda501f016da5f2f816cdea, 1701170669703, 1701170669715, 0.2021483700
6, 0x00039b8e57046f2ac458f17599e344b5be37b47329c85206d129a186b3f87e9a, 1701170670518, 1701170670550, 0.2762694641
7, 0x0003ffd02229a62b890fd00df9e3665dd960c340722a564ff8182c8f37387a93, 1701170671924, 1701170671960, 0.1275885747
8, 0x00034e2de3b88b81a919d5d10c7734fa2ec02abee92ce5021063247280fa6d2e, 1701170674356, 1701170674390, 0.4025056114
9, 0x0002971947cc0bdd13dcc9e5ab6454837332ba383b36acd8c16a864894900ef9, 1701170677078, 1701170677114, 0.7542451907
10, 0x0002708a0d4c0b1fecde1ca132d59c2b1f74195d7da659d2db3acadaf0da2778, 1701170678141, 1701170678157, 0.8406766516
11, 0x00029641d191fbe0a60005f04d9b0e4d32951549cb057a69b2badfe400763a30, 1701170679530, 1701170679551, 0.7560775155
12, 0x0001762d76981082ce09c03454107ae912b8c71c6fdd7b2d63cdc73d9e3ee326, 1701170679847, 1701170679872, 1.5797457705
13, 0x0002eb0e829a99057d7310575965d5d0f70adbc7a6905c0cf492a0e9ef092020, 1701170680432, 1701170680463, 0.5822512233
14, 0x000038f176670feaceb65fffc44d48d8c4dd68ecbad64d2424041dcd6ae39355, 1701170681723, 1701170681764, 4.2958731277
15, 0x0000029a0dc20fb0bf2e8fd540bb43736245bce08796436f5057ac3b46bb4dbf, 1701170681769, 1701170681806, 8.7478303401
