Simulation, 48, Num of Nodes, 12
Block Height, Block Hash, Time Stamp, Received Time Stamp, Extra Bits
1, 0x00028b5fb90d9056c4e9cd82df047a3df21522caed6b616d5f7149ef42810fc7, 1701167745469, 1701167746344, 0.7799829780
2, 0x000137df47b14b747b5e6f056cca8f6aaf7c94cd7caa7b0f607136f1ac85b39a, 1701167750265, 1701167750276, 1.8425140290
3, 0x00015a42c273d092f10b25d775a8e96e0af8b937cc2d6c09ab77cd433bf4e087, 1701167750839, 1701167750854, 1.6916099449
4, 0x00031e3954d3904a38d63f38596823f0aa9179938c6cf201dc77835818b6be1c, 1701167751531, 1701167751559, 0.4866753626
5, 0x000440311eeb16dd947e6ed9d5167ca987567b75d78198d3b5701a64ed0cb4ac, 1701167753584, 1701167753610, 0.0396078694
6, 0x00013a90c707c231b6033f3b92fc417979e0d6cef1b5ee16dc2ef61d1beecb1c, 1701167753816, 1701167753836, 1.8301083087
7, 0x0000a71640ee005cd9011a78361965ebbc6585a1c0cf82210bed158ed9053915, 1701167755496, 1701167755529, 2.7428700588
8, 0x00024f7b3d1dd094825ebc40920bcaf0286e6060cb61b96e387342059257e4f3, 1701167755841, 1701167755884, 0.9191361251
9, 0x000389a8effd7ddb3ad0596ae074924775e375f2705d89ce01e836824bf320a2, 1701167755986, 1701167756011, 0.3044995303
10, 0x0001864f2d1e0b1328da3250ce0a2313e8e8ff6b672d13d7f743986375d6f823, 1701167756894, 1701167756926, 1.5188511571
11, 0x0003646221ba684ead53b8d3c018fb2eed25566aaa0f66f5a208f59afec841c7, 1701167756945, 1701167756976, 0.3651369033
12, 0x000013ff3c5ded026ca48a5120564cf8be7d1b5e5dbb41548051fa32adeffaef, 1701167758417, 1701167758448, 5.8056123721
13, 0x0002c52ceaca1a4d66b68a59fd2d0f686bac07feeb0772c6dec07b64b3d6435e, 1701167759397, 1701167759422, 0.6573263201
14, 0x00006955a6dc71853628cc042823223e89f07c5b8a482c888fbbbe6738cc67fb, 1701167760879, 1701167760925, 3.4084898338
15, 0x0000d6cd75a03ac27f37e29389e9d99b7ae5e72537d55794f0a265d3a408bf6f, 1701167761876, 1701167761914, 2.3804576346
16, 0x00016b9f1419fb966dc7fcfc54c3fc720df6346f6e958b5ffdc6a32ca9c1926a, 1701167763136, 1701167763156, 1.6210318199
17, 0x0000e87109a7b24f992ae3a990e666ff1979e12851a8e8798177826858d02552, 1701167763215, 1701167763254, 2.2666009276
18, 0x0003390f017246c872335b8bfb9d50fca3e47e939abed22b3f8117377b852e11, 1701167763611, 1701167763645, 0.4389723115
19, 0x00032b5e4fce37727da216e8a84080670067b28f7aac88b11c0f0ff79c415b0e, 1701167763815, 1701167763860, 0.4631118050
20, 0x000365b9720902c7a4657fe4175ccfe87c71f2dac08365e9ec1d41d8e42a8e72, 1701167765735, 1701167765778, 0.3629106268
21, 0x0001e278070bc1534de15ec1f935b3aa9b9ca38cdaefc7960a48a5a0f1dc52c7, 1701167767072, 1701167767120, 1.2130331079
22, 0x000118b75bb3cf3c7b9cdd2b8c8a917d30fae898237d0cdcaa0c558c6861d4ee, 1701167768587, 1701167768617, 1.9943563854
23, 0x00014df98ea7e891e7014ec3e8fd77bf9e74111702be9cdc83796b7c79243edc, 1701167770281, 1701167770312, 1.7437295388
24, 0x0000d6a5063d6b230b41b438d21f6c2f07df9c5e4261421f10d738591bdc7a5f, 1701167770453, 1701167770485, 2.3815188740
25, 0x00015c0b6a69a1feddc25428914cc10d9873b900420ad2c31cb022ecb64bc359, 1701167771124, 1701167771143, 1.6841967698
26, 0x0002ff5f5838771b3a5df70b6aaa08cac9e014610416c095c802bd922bebc283, 1701167771654, 1701167771687, 0.5435419783
27, 0x0003d3386ed2e59e0cd7d51b009ac685b2514c0ef105d75c0678cb752e4e6546, 1701167771733, 1701167771758, 0.1918352556
28, 0x00045325cfb0aaf86f4c35d4a43fda682ca9e706bf757d86ef1a394076b7f2f4, 1701167776878, 1701167776892, 0.0146931357
29, 0x0000bdf5f7c49500b9bf7e223a8cfe4477b03f966ae1ab10736d9651a84d5798, 1701167779200, 1701167779232, 2.5577671026
30, 0x00044415bdfb02f1c3aded18db42a54e51822ca0dda241afed75339c6d160b4f, 1701167779407, 1701167779447, 0.0344557778
