Bits,Winner
0.0,0
1.4426950408889634,0
2.8853900817779268,1
4.328085122666891,1
5.7707801635558535,1
7.213475204444817,1
8.656170245333781,1
10.098865286222745,1
11.541560327111707,1
12.984255368000671,1
14.426950408889635,1
15.869645449778599,1
17.312340490667562,1
18.755035531556526,1
20.19773057244549,1
21.64042561333445,1
23.083120654223414,1
24.525815695112378,1
25.968510736001342,1
27.411205776890306,1
28.85390081777927,1
30.296595858668233,1
31.739290899557197,1
33.18198594044616,1
34.624680981335125,1
36.06737602222409,1
37.51007106311305,1
38.952766104002016,1
40.39546114489098,1
41.83815618577994,1
43.2808512266689,1
44.723546267557865,1
46.16624130844683,1
47.60893634933579,1
49.051631390224756,1
50.49432643111372,1
51.937021472002684,1
53.37971651289165,1
54.82241155378061,1
56.265106594669575,1
57.70780163555854,1
59.1504966764475,1
60.59319171733647,1
62.03588675822543,1
63.478581799114394,1
64.92127684000336,1
66.36397188089232,1
67.80666692178129,1
69.24936196267025,1
70.69205700355921,1
72.13475204444818,1
73.57744708533714,1
75.0201421262261,1
76.46283716711507,1
77.90553220800403,1
79.348227248893,1
80.79092228978196,1
82.23361733067091,1
83.67631237155987,1
85.11900741244884,1
86.5617024533378,1
88.00439749422677,1
89.44709253511573,1
90.8897875760047,1
92.33248261689366,1
93.77517765778262,1
95.21787269867158,1
96.66056773956055,1
98.10326278044951,1
99.54595782133848,1
100.98865286222744,1
102.4313479031164,1
103.87404294400537,1
105.31673798489433,1
106.7594330257833,1
108.20212806667226,1
109.64482310756122,1
111.08751814845019,1
112.53021318933915,1
113.97290823022811,1
115.41560327111708,1
116.85829831200604,1
118.300993352895,1
119.74368839378397,1
121.18638343467293,1
122.6290784755619,1
124.07177351645086,1
125.51446855733982,1
126.95716359822879,1
128.39985863911775,1
129.84255368000672,1
131.28524872089568,1
132.72794376178464,1
134.1706388026736,1
135.61333384356257,1
137.05602888445154,1
138.4987239253405,1
139.94141896622946,1
141.38411400711843,1
142.8268090480074,1
144.26950408889635,1
